Temp;Bar;Millibar;Pascal;Torr/mmHg;Microns;
-20;0,00104;1,04;103,99;0,78;780;
-19;0,00113;1,13;113,32;0,85;850;
-18;0,00125;1,25;125,32;0,94;940;
-17;0,00137;1,37;137,32;1,03;1030;
-16;0,00151;1,51;150,65;1,13;1130;
-15;0,00165;1,65;165,32;1,24;1240;
-14;0,00181;1,81;181,32;1,36;1360;
-13;0,00199;1,99;198,65;1,49;1490;
-12;0,00217;2,17;217,32;1,63;1630;
-11;0,00237;2,37;237,31;1,78;1780;
-10;0,00260;2,60;259,98;1,95;1950;
-9;0,00284;2,84;283,98;2,13;2130;
-8;0,00311;3,11;310,64;2,33;2330;
-7;0,00339;3,39;338,64;2,54;2540;
-6;0,00368;3,68;367,97;2,76;2760;
-5;0,00401;4,01;401,30;3,01;3010;
-4;0,00437;4,37;437,30;3,28;3280;
-3;0,00476;4,76;475,96;3,57;3570;
-2;0,00517;5,17;517,29;3,88;3880;
-1;0,00563;5,63;562,62;4,22;4220;
0;0,00611;6,11;610,62;4,58;4580;
1;0,00653;6,53;653,28;4,9;4900;
2;0,00707;7,07;706,61;5,3;5300;
3;0,00760;7,60;759,94;5,7;5700;
4;0,00813;8,13;813,27;6,1;6100;
5;0,00867;8,67;866,60;6,5;6500;
6;0,00933;9,33;933,26;7;7000;
7;0,01000;10,00;999,92;7,5;7500;
8;0,01067;10,67;1066,58;8;8000;
9;0,01147;11,47;1146,57;8,6;8600;
10;0,01227;12,27;1226,57;9,2;9200;
11;0,01307;13,07;1306,56;9,8;9800;
12;0,01400;14,00;1399,88;10,5;10500;
13;0,01493;14,93;1493,21;11,2;11200;
14;0,01600;16,00;1599,87;12;12000;
15;0,01707;17,07;1706,53;12,8;12800;
16;0,01813;18,13;1813,18;13,6;13600;
17;0,01933;19,33;1933,17;14,5;14500;
18;0,02053;20,53;2053,16;15,4;15400;
19;0,02200;22,00;2199,82;16,5;16500;
20;0,02333;23,33;2333,14;17,5;17500;
21;0,02480;24,80;2479,80;18,6;18600;
22;0,02640;26,40;2639,78;19,8;19800;
23;0,02813;28,13;2813,10;21,1;21100;
24;0,02986;29,86;2986,42;22,4;22400;
25;0,03173;31,73;3173,07;23,8;23800;
26;0,03360;33,60;3359,72;25,2;25200;
27;0,03560;35,60;3559,71;26,7;26700;
28;0,03773;37,73;3773,02;28,3;28300;
29;0,04000;40,00;3999,67;30;30000;
30;0,04240;42,40;4239,65;31,8;31800;
35;0,05626;56,26;5626,20;42,2;42200;
40;0,07373;73,73;7372,73;55,3;55300;
45;0,09586;95,86;9585,88;71,9;71900;
50;0,12332;123,32;12332,32;92,5;92500;
55;0,15732;157,32;15732,04;118;118000;
60;0,19918;199,18;19918,36;149,4;149400;
65;0,24998;249,98;24997,94;187,5;187500;
